date,store_nbr,transactions,month_day
2017-08-16,6,2020,08-16
2017-08-16,7,1416,08-16
2017-08-16,8,2936,08-16
2017-08-16,9,2271,08-16
2017-08-16,10,1120,08-16
2017-08-16,11,2603,08-16
2017-08-16,12,1241,08-16
2017-08-16,13,1179,08-16
2017-08-16,14,1939,08-16
2017-08-16,15,1396,08-16
2017-08-16,16,1045,08-16
2017-08-16,17,1385,08-16
2017-08-16,18,1217,08-16
2017-08-16,19,1521,08-16
2017-08-16,23,1208,08-16
2017-08-16,24,2346,08-16
2017-08-16,25,1368,08-16
2017-08-16,26,907,08-16
2017-08-16,27,1330,08-16
2017-08-16,28,890,08-16
2017-08-16,30,702,08-16
2017-08-16,31,1262,08-16
2017-08-16,32,822,08-16
2017-08-16,33,1108,08-16
2017-08-16,34,2591,08-16
2017-08-16,35,750,08-16
2017-08-16,37,1622,08-16
2017-08-16,38,2142,08-16
2017-08-16,39,1518,08-16
2017-08-16,40,1039,08-16
2017-08-16,41,861,08-16
2017-08-16,43,1142,08-16
2017-08-16,44,4423,08-16
2017-08-16,45,3927,08-16
2017-08-16,46,4263,08-16
2017-08-16,47,4278,08-16
2017-08-16,48,3355,08-16
2017-08-16,49,2309,08-16
2017-08-16,50,3258,08-16
2017-08-16,51,1873,08-16
2017-08-16,54,954,08-16
2017-08-16,1,542,08-16
2017-08-16,2,1988,08-16
2017-08-16,3,3217,08-16
2017-08-16,4,1873,08-16
2017-08-16,5,1510,08-16
2017-08-16,6,2219,08-16
2017-08-16,7,1328,08-16
2017-08-16,8,2765,08-16
2017-08-16,9,2457,08-16
2017-08-16,10,1013,08-16
2017-08-16,11,2875,08-16
2017-08-16,12,1166,08-16
2017-08-16,13,858,08-16
2017-08-16,14,1317,08-16
2017-08-16,15,1122,08-16
2017-08-16,16,1260,08-16
2017-08-16,17,1441,08-16
2017-08-16,18,1376,08-16
2017-08-16,19,1269,08-16
2017-08-16,23,1187,08-16
2017-08-16,24,2001,08-16
2017-08-16,25,748,08-16
2017-08-16,26,963,08-16
2017-08-16,27,1575,08-16
2017-08-16,28,1197,08-16
2017-08-16,30,686,08-16
2017-08-16,31,1467,08-16
2017-08-16,32,753,08-16
2017-08-16,33,1207,08-16
2017-08-16,34,2381,08-16
2017-08-16,35,657,08-16
2017-08-16,37,1210,08-16
2017-08-16,38,2256,08-16
2017-08-16,39,1630,08-16
2017-08-16,40,1048,08-16
2017-08-16,41,1120,08-16
2017-08-16,43,1145,08-16
2017-08-16,44,4676,08-16
2017-08-16,45,4345,08-16
2017-08-16,46,4713,08-16
2017-08-16,47,4796,08-16
2017-08-16,48,3993,08-16
2017-08-16,49,2662,08-16
2017-08-16,50,3261,08-16
2017-08-16,51,1808,08-16
2017-08-16,54,1225,08-16
2017-08-16,1,1780,08-16
2017-08-16,2,1713,08-16
2017-08-16,3,2785,08-16
2017-08-16,4,1321,08-16
2017-08-16,5,1457,08-16
2017-08-16,6,1545,08-16
2017-08-16,7,1629,08-16
2017-08-16,8,2622,08-16
2017-08-16,9,2009,08-16
2017-08-16,10,1000,08-16
2017-08-16,11,2056,08-16
2017-08-16,12,1147,08-16
2017-08-16,13,869,08-16
2017-08-16,14,1700,08-16
2017-08-16,15,1368,08-16
2017-08-16,16,977,08-16
2017-08-16,17,1209,08-16
2017-08-16,18,1314,08-16
2017-08-16,19,1115,08-16
2017-08-16,23,1138,08-16
2017-08-16,24,2341,08-16
2017-08-16,25,664,08-16
2017-08-16,26,758,08-16
2017-08-16,27,1005,08-16
2017-08-16,28,754,08-16
2017-08-16,30,690,08-16
2017-08-16,31,1181,08-16
2017-08-16,32,644,08-16
2017-08-16,33,1008,08-16
2017-08-16,34,2246,08-16
2017-08-16,35,579,08-16
2017-08-16,37,1305,08-16
2017-08-16,38,1502,08-16
2017-08-16,39,1248,08-16
2017-08-16,40,1109,08-16
2017-08-16,41,739,08-16
2017-08-16,43,1091,08-16
2017-08-16,44,3450,08-16
2017-08-16,45,2937,08-16
2017-08-16,46,2780,08-16
2017-08-16,47,3145,08-16
2017-08-16,48,2223,08-16
2017-08-16,49,1525,08-16
2017-08-16,50,2150,08-16
2017-08-16,51,1491,08-16
2017-08-16,54,759,08-16
2017-08-16,1,1680,08-16
2017-08-16,2,1806,08-16
2017-08-16,3,2757,08-16
2017-08-16,4,1385,08-16
2017-08-16,5,1450,08-16
2017-08-16,6,1619,08-16
2017-08-16,7,1603,08-16
2017-08-16,8,2558,08-16
2017-08-16,9,2163,08-16
2017-08-16,10,1070,08-16
2017-08-16,11,2152,08-16
2017-08-16,12,1180,08-16
2017-08-16,13,871,08-16
2017-08-16,14,1554,08-16
2017-08-16,15,1319,08-16
2017-08-16,16,1001,08-16
2017-08-16,17,1216,08-16
2017-08-16,18,1350,08-16
2017-08-16,19,1042,08-16
2017-08-16,23,1075,08-16
2017-08-16,24,2338,08-16
2017-08-16,25,644,08-16
2017-08-16,26,787,08-16
2017-08-16,27,953,08-16
2017-08-16,28,846,08-16
2017-08-16,30,754,08-16
2017-08-16,31,1184,08-16
2017-08-16,32,683,08-16
2017-08-16,33,1062,08-16
2017-08-16,34,2285,08-16
2017-08-16,35,619,08-16
2017-08-16,37,1406,08-16
2017-08-16,38,1395,08-16
2017-08-16,39,1318,08-16
2017-08-16,40,1153,08-16
2017-08-16,41,693,08-16
2017-08-16,43,1123,08-16
2017-08-16,44,3527,08-16
2017-08-16,45,3016,08-16
2017-08-16,46,2973,08-16
2017-08-16,47,3305,08-16
2017-08-16,48,2275,08-16
2017-08-16,49,1571,08-16
2017-08-16,50,2001,08-16
2017-08-16,51,1604,08-16
2017-08-16,54,768,08-16
2017-08-16,1,1933,08-16
2017-08-16,2,1988,08-16
2017-08-16,3,3108,08-16
2017-08-16,4,1557,08-16
2017-08-16,5,1461,08-16
2017-08-16,6,1677,08-16
2017-08-16,7,1619,08-16
2017-08-16,8,2820,08-16
2017-08-16,9,1981,08-16
2017-08-16,10,973,08-16
2017-08-16,11,2060,08-16
2017-08-16,12,1068,08-16
2017-08-16,13,767,08-16
2017-08-16,14,1406,08-16
2017-08-16,15,1222,08-16
2017-08-16,16,782,08-16
2017-08-16,17,1127,08-16
2017-08-16,18,1313,08-16
2017-08-16,19,986,08-16
2017-08-16,23,1124,08-16
2017-08-16,24,2555,08-16
2017-08-16,25,775,08-16
2017-08-16,26,786,08-16
2017-08-16,27,1070,08-16
2017-08-16,28,678,08-16
2017-08-16,30,678,08-16
2017-08-16,31,1096,08-16
2017-08-16,32,648,08-16
2017-08-16,33,1010,08-16
2017-08-16,34,2218,08-16
2017-08-16,35,597,08-16
2017-08-16,37,1495,08-16
2017-08-16,38,1483,08-16
2017-08-16,39,1047,08-16
2017-08-16,40,978,08-16
2017-08-16,41,736,08-16
2017-08-16,43,1037,08-16
2017-08-16,44,4026,08-16
2017-08-16,45,3183,08-16
2017-08-16,46,3034,08-16
2017-08-16,47,3406,08-16
2017-08-16,48,2343,08-16
2017-08-16,49,1780,08-16
2017-08-16,50,2302,08-16
2017-08-16,51,1852,08-16
2017-08-16,54,686,08-16
2017-08-16,1,1786,08-16
2017-08-16,2,1672,08-16
2017-08-16,3,2653,08-16
2017-08-16,4,1296,08-16
2017-08-16,5,1458,08-16
2017-08-16,6,1547,08-16
2017-08-16,7,1565,08-16
2017-08-16,8,2591,08-16
2017-08-16,9,1932,08-16
2017-08-16,10,960,08-16
2017-08-16,11,2167,08-16
2017-08-16,12,1186,08-16
2017-08-16,13,794,08-16
2017-08-16,14,1420,08-16
2017-08-16,15,1274,08-16
2017-08-16,16,973,08-16
2017-08-16,17,1128,08-16
2017-08-16,18,1249,08-16
2017-08-16,19,977,08-16
2017-08-16,23,1089,08-16
2017-08-16,24,2557,08-16
2017-08-16,25,640,08-16
2017-08-16,26,818,08-16
2017-08-16,27,1037,08-16
2017-08-16,28,820,08-16
2017-08-16,30,790,08-16
2017-08-16,31,1161,08-16
2017-08-16,32,726,08-16
2017-08-16,33,961,08-16
2017-08-16,34,2315,08-16
2017-08-16,35,555,08-16
2017-08-16,37,1258,08-16
2017-08-16,38,1342,08-16
2017-08-16,39,1194,08-16
2017-08-16,40,942,08-16
2017-08-16,41,728,08-16
2017-08-16,43,1011,08-16
2017-08-16,44,3412,08-16
2017-08-16,45,2773,08-16
2017-08-16,46,2807,08-16
2017-08-16,47,3217,08-16
2017-08-16,48,2234,08-16
2017-08-16,49,1568,08-16
2017-08-16,50,2012,08-16
2017-08-16,51,1551,08-16
2017-08-16,54,727,08-16
2017-08-16,1,1745,08-16
2017-08-16,2,1901,08-16
2017-08-16,3,2936,08-16
2017-08-16,4,1493,08-16
2017-08-16,5,1378,08-16
2017-08-16,6,1548,08-16
2017-08-16,7,1749,08-16
2017-08-16,8,2766,08-16
2017-08-16,9,1639,08-16
2017-08-16,10,852,08-16
2017-08-16,11,2133,08-16
2017-08-16,12,1039,08-16
2017-08-16,13,803,08-16
2017-08-16,14,1305,08-16
2017-08-16,15,1157,08-16
2017-08-16,16,906,08-16
2017-08-16,17,1035,08-16
2017-08-16,18,1209,08-16
2017-08-16,19,923,08-16
2017-08-16,23,1071,08-16
2017-08-16,24,2559,08-16
2017-08-16,25,971,08-16
2017-08-16,26,822,08-16
2017-08-16,27,1034,08-16
2017-08-16,28,709,08-16
2017-08-16,30,696,08-16
2017-08-16,31,1044,08-16
2017-08-16,32,619,08-16
2017-08-16,33,860,08-16
2017-08-16,34,2510,08-16
2017-08-16,35,519,08-16
2017-08-16,37,1458,08-16
2017-08-16,38,1591,08-16
2017-08-16,39,1162,08-16
2017-08-16,40,944,08-16
2017-08-16,41,727,08-16
2017-08-16,43,1323,08-16
2017-08-16,44,3801,08-16
2017-08-16,45,3263,08-16
2017-08-16,46,2907,08-16
2017-08-16,47,3302,08-16
2017-08-16,48,2341,08-16
2017-08-16,49,1804,08-16
2017-08-16,50,2242,08-16
2017-08-16,51,1796,08-16
2017-08-16,54,779,08-16
2017-08-16,1,1389,08-16
2017-08-16,2,2043,08-16
2017-08-16,3,3453,08-16
2017-08-16,4,1705,08-16
2017-08-16,5,1517,08-16
2017-08-16,6,2132,08-16
2017-08-16,7,1581,08-16
2017-08-16,8,2944,08-16
2017-08-16,9,2336,08-16
2017-08-16,10,1372,08-16
2017-08-16,11,2569,08-16
2017-08-16,12,1319,08-16
2017-08-16,13,1140,08-16
2017-08-16,14,2031,08-16
2017-08-16,15,1390,08-16
2017-08-16,16,1022,08-16
2017-08-16,17,1440,08-16
2017-08-16,18,1362,08-16
2017-08-16,19,1735,08-16
2017-08-16,23,1231,08-16
2017-08-16,24,2487,08-16
2017-08-16,25,1494,08-16
2017-08-16,26,961,08-16
2017-08-16,27,1382,08-16
2017-08-16,28,996,08-16
2017-08-16,30,715,08-16
2017-08-16,31,1386,08-16
2017-08-16,32,770,08-16
2017-08-16,33,1201,08-16
2017-08-16,34,2695,08-16
2017-08-16,35,816,08-16
2017-08-16,37,1630,08-16
2017-08-16,38,2154,08-16
2017-08-16,39,1633,08-16
2017-08-16,40,1034,08-16
2017-08-16,41,952,08-16
2017-08-16,43,1127,08-16
2017-08-16,44,4656,08-16
2017-08-16,45,3984,08-16
2017-08-16,46,4372,08-16
2017-08-16,47,4377,08-16
2017-08-16,48,3392,08-16
2017-08-16,49,2469,08-16
2017-08-16,50,3426,08-16
2017-08-16,51,1830,08-16
2017-08-16,54,908,08-16
2017-08-16,1,507,08-16
2017-08-16,2,2006,08-16
2017-08-16,3,3466,08-16
2017-08-16,4,1742,08-16
2017-08-16,5,1596,08-16
2017-08-16,6,2202,08-16
2017-08-16,7,1368,08-16
2017-08-16,8,2755,08-16
2017-08-16,9,2427,08-16
2017-08-16,10,1162,08-16
2017-08-16,11,2597,08-16
2017-08-16,12,1211,08-16
2017-08-16,13,947,08-16
2017-08-16,14,1333,08-16
2017-08-16,15,1110,08-16
2017-08-16,16,1184,08-16
2017-08-16,17,1419,08-16
2017-08-16,18,1347,08-16
2017-08-16,19,1142,08-16
2017-08-16,23,1099,08-16
2017-08-16,24,1908,08-16
2017-08-16,25,816,08-16
2017-08-16,26,986,08-16
2017-08-16,27,1515,08-16
2017-08-16,28,1179,08-16
2017-08-16,30,616,08-16
2017-08-16,31,1389,08-16
2017-08-16,32,801,08-16
2017-08-16,33,1133,08-16
2017-08-16,34,2324,08-16
2017-08-16,35,697,08-16
2017-08-16,37,1233,08-16
2017-08-16,38,2294,08-16
2017-08-16,39,1582,08-16
2017-08-16,40,924,08-16
2017-08-16,41,1020,08-16
2017-08-16,43,1061,08-16
2017-08-16,44,4732,08-16
2017-08-16,45,4169,08-16
2017-08-16,46,4696,08-16
2017-08-16,47,4877,08-16
2017-08-16,48,4044,08-16
2017-08-16,49,2536,08-16
2017-08-16,50,3195,08-16
2017-08-16,51,1756,08-16
2017-08-16,54,1178,08-16
2017-08-16,1,1770,08-16
2017-08-16,2,1864,08-16
2017-08-16,3,2930,08-16
2017-08-16,4,1458,08-16
2017-08-16,5,1506,08-16
2017-08-16,6,1602,08-16
2017-08-16,7,1649,08-16
2017-08-16,8,2688,08-16
2017-08-16,9,2149,08-16
2017-08-16,10,1200,08-16
