store_nbr,Store name,city,state,type,cluster
33.0,BB-KOLKATA-SALT LAKE CITY,KOLKATA,West Bengal,C,3
34.0,BB-KOLKATA-BIRATI,KOLKATA,West Bengal,B,6
35.0,BB-BARASAT-JESSORE ROAD-SUNCITY MALL,BARASAT,West Bengal,C,3
36.0,BB-HOWRAH- LILUAH-R.D MALL ,HOWRAH,West Bengal,E,10
37.0,BB-ASANSOL-BURNBPUR ROAD-GALAXY MALL,ASANSOL,West Bengal,D,2
38.0,BB-HOWRAH-JAGAT BANERJEE GHAT ROAD-AVANI RIVER SIDE MALL,HOWRAH,West Bengal,D,4
39.0,BB-DARJEELING- LADEN LA ROAD-RINK MALL ,DARJEELING,,B,6
40.0,BB-SILIGURI- SEVOKE ROAD-COSMOS MALL,SILIGURI,West Bengal,C,3
41.0,FBB-SILIGURI-CITY CENTER SILIGURI MALL,SILIGURI,West Bengal,D,4
42.0,BB-DURGAPUR-   DURGAPUR-DREAMPLEX COMPLEX,DURGAPUR,West Bengal,D,2
43.0,BB-BURDWAN- JAIL KHANA MORE-BURDWAN ARCADE,BURDWAN,0,E,10
44.0,FBB-KOLKATA- MANIKTALA MAIN ROAD- MANISQUARE MALL,KOLKATA,West Bengal,A,5
45.0,BB-KHARAGPUR- KHARAGPUR-PUJA MALL,KHARAGPUR,West Bengal,A,11
46.0,BB-KOLKATA-JESSORE ROAD- DIAMOND CITY NORTH MALL,KOLKATA,West Bengal,A,14
47.0,BB-KOLKATA- PARGANAS-WOOD SQUARE MALL,KOLKATA,West Bengal,A,14
48.0,BB-KOLKATA-RAJARHAT-BLOCK BY BLOCK SHOPPING MALL,KOLKATA,West Bengal,A,14
49.0,BB-KOLKATA-RASHBEHARI AVENUE-LAKEMALL,KOLKATA,West Bengal,A,11
50.0,FBB-KOLKATA- HOWRAH MAIDAN,KOLKATA,West Bengal,A,14
51.0,BB-KOLKATA-SREEBHUMI- ALCOVE GLORIA,KOLKATA,West Bengal,A,17
52.0,BB-KOLKATA- SHREERAMPUR-RD PLAZA,KOLKATA,West Bengal,A,11
53.0,BB-HALDIA- DIST. EAST OF MADINIPUR-MOUZA DEBHOG,HALDIA,West Bengal,D,13
54.0,BB-BOKARO-BOKARO STEEL CITY- THE BOKARO MALL,BOKARO,Jharkhand,C,3
